"﻿Област","Населено място","училище","училище","Училище","БЕЛ Ср.усп.","БЕЛ Бр.","МАТ Ср.усп.","МАТ Бр.","ИСТ Ср.усп.","ИСТ Бр.","ФА Ср.усп.","ФА Бр.","ГЕО Ср.усп.","ГЕО Бр.","ХООС Ср.усп.","ХООС Бр.","ФИЛ Ср.усп.","ФИЛ Бр.","БЗО Ср.усп.","БЗО Бр.","АЕ Ср.усп.","АЕ Бр.","РЕ Ср.усп.","РЕ Бр.","НЕ Ср.усп.","НЕ Бр.","ИспЕ Ср.усп.","ИспЕ Бр.","ФрЕ Ср.усп.","ФрЕ Бр.","ИтЕ Ср.усп.","ИтЕ Бр.","2ДЗИ Ср.усп.","2ДЗИ Бр.","ср.успех","общо"
"Бургас","Бургас","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище   "" Епископ Константин Преславски""","3,65","39","","","","","","","3,61","1","","","3,61","8","4,12","19","4,23","9","2,99","2","","","","","","","","","3,967","39","3,808","78"
"Бургас","Бургас","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище","3,24","16","","","","","","","2,7","1","","","3,12","12","3,17","4","3,29","1","","","","","","","","","","","3,118","18","3,177","34"
"Бургас","Бургас","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище ""Димчо Дебелянов""","3,68","16","","","","","","","2,66","1","","","3,59","3","3,88","9","4,64","5","","","","","","","","","","","3,974","18","3,834","34"
"Бургас","Бургас","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище   ,,Добри Чинтулов","3,21","23","","","","","","","2,58","2","3,73","1","3,3","2","3,39","19","5,07","1","","","","","","","","","","","3,398","25","3,306","48"
"Бургас","Бургас","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно  училище","","","","","","","","","2,57","2","","","","","3,14","1","","","","","","","","","","","","","2,76","3","2,76","3"
"Бургас","Бургас","Общинско","професионална гимназия","Търговска гимназия","4,94","168","4,35","16","","","","","4,44","27","","","4,27","20","5,1","44","5,09","58","","","5,86","2","","","","","","","4,828","167","4,882","335"
"Бургас","Бургас","Частно","профилирана гимназия","Частна  профилирана гимназия с изучаване на английски език","4,12","7","","","","","","","3,28","1","","","4,23","2","","","4,74","4","","","","","","","","","5,61","1","4,535","8","4,342","15"
"Бургас","Бургас","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно    училище","2,84","11","","","","","","","2,61","12","","","","","4,12","1","","","","","","","","","","","","","2,728","13","2,778","24"
"Бургас","Камено","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище","3,39","13","","","","","","","2,88","1","","","","","3,69","12","","","","","","","","","","","","","3,632","13","3,51","26"
"Бургас","Карнобат","Държавно","професионална гимназия","Професионална гимназия по селско стопанство и лека промишленост","3,05","48","","","3,31","1","","","2,62","4","","","","","3,54","40","","","","","","","","","","","","","3,455","45","3,243","93"
"Бургас","Карнобат","Общинско","СОУ с (присъединена) група в детска градина","Средно общообразователно училище","4,57","50","5,29","6","3,51","8","","","","","","","4,64","6","4,57","21","5,3","9","","","","","","","","","","","4,628","50","4,598","100"
"Бургас","Карнобат","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище","4","64","","","4,23","2","","","4,44","2","","","5,06","3","4,18","54","5,53","2","","","","","","","","","","","4,273","63","4,134","127"
"Бургас","Малко Търново","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно   училище","3,02","13","","","","","","","","","","","","","3,33","8","","","","","","","","","","","","","3,329","8","3,139","21"
"Бургас","Несебър","Общинско","професионална гимназия","Професионална гимназия     по туризъм","3,35","63","","","","","","","3,19","19","","","3,33","3","3,57","36","3,5","1","","","","","","","","","","","3,431","59","3,389","122"
"Бургас","Несебър","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище","4,18","44","","","","","","","3,82","29","","","4,83","5","4,85","2","5,23","11","","","","","","","","","","","4,3","47","4,241","91"
"Бургас","Поморие","Общинско","професионална гимназия","Професионална гимназия   по туризъм","3,26","39","","","","","","","2,74","2","","","3,5","13","3,44","23","3,15","1","","","","","","","","","","","3,418","39","3,341","78"
"Бургас","Поморие","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище","2,7","1","","","","","","","2,84","1","","","","","","","","","","","","","","","","","","","2,84","1","2,77","2"
"Бургас","Приморско","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище","3,76","17","","","","","","","","","","","","","4,36","17","","","","","","","","","","","","","4,365","17","4,061","34"
"Бургас","Люляково","Общинско","СОУ с (присъединена) група в детска градина","Средно Общообразователно  Училище","3,37","41","","","","","","","4,5","1","","","","","4,04","34","","","","","","","","","","","","","4,057","35","3,688","76"
"Бургас","Руен","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище","3,69","70","","","","","","","3,97","15","5,03","6","","","4,93","48","","","","","","","","","","","","","4,73","69","4,207","139"
"Бургас","Созопол","Общинско","СОУ (І - ХІІ клас)","СОУ ""Св. Св. Кирил и Методий"" гр. Созопол","3,43","19","","","","","","","2,7","1","","","3,04","8","3,97","11","","","","","","","","","","","","","3,537","20","3,487","39"
"Бургас","Средец","Общинско","професионална гимназия","Професионална гимназия   по механизация на селското стопанство и   електроника","3,13","37","","","2,45","12","","","3,08","7","","","3,28","17","3,54","3","","","","","","","","","","","","","3,007","39","3,066","76"
"Бургас","Средец","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище","3,39","2","","","3,46","1","","","","","","","","","3,78","1","","","","","","","","","","","","","3,62","2","3,503","4"
"Бургас","Сунгурларе","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно  училище ""Христо Ботев""","3,19","36","","","","","","","","","","","","","3,61","32","5,18","1","","","","","","","","","","","3,653","33","3,409","69"
"Бургас","Царево","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище ""Никола Йонков Вапцаров""","4","46","","","","","","","3,43","4","","","5,49","2","4,6","30","5,24","5","","","","","","","","","","","4,606","41","4,286","87"
"Варна","Синдел","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище","2,97","30","","","2,44","1","","","2,69","29","","","","","3,75","3","","","","","","","","","","","","","2,78","33","2,871","63"
"Варна","Аксаково","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище ""Свети Климент Охридски""","3,71","25","","","","","","","4,06","2","","","","","4,23","21","4,68","2","","","","","","","","","","","4,254","25","3,983","50"
"Варна","Игнатиево","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно  училище","3,1","22","","","","","","","","","","","","","3,4","24","","","","","","","","","","","","","3,398","24","3,255","46"
"Варна","Белослав","Общинско","професионална гимназия","Професионална гимназия","3,27","27","","","","","","","3,65","6","","","","","3,37","21","","","","","","","","","","","","","3,429","27","3,351","54"
"Варна","Белослав","Общинско","СОУ (І - ХІІ клас)","Средно общообразователно училище","4,14","20","","","","","","","4,75","1","5,67","1","","","4,49","19","","","","","","","","","","","","","4,559","21","4,355","41"
"Варна","Бяла","Общинско","професионална гимназия","Професионална гимназия             по селско стопанство и туризъм","3,43","10","","","","","","","3,19","4","","","","","3,54","5","","","5,57","1","","","","","","","","","3,6","10","3,515","20"
"Варна","Варна","Държавно","спортно","Cпортно училище   "" Георги Бенковски ""","3,83","58","","","3,59","2","","","3,59","9","","","3,69","11","3,66","30","4,24","12","5,98","1","","","","","","","","","3,798","65","3,815","123"
"Варна","Варна","Общинско","СОУ (І - ХІІ клас)","VIII средно общообразователно училище    с преподаване на чужди езици","4,92","107","","","5,91","1","","","4,4","61","","","4,62","6","4,77","7","5,47","20","5,94","9","4,53","1","","","","","5,09","2","4,795","107","4,86","214"
"Варна","Варна","Държавно","професионална гимназия","Варненска морска гимназия","3,74","107","","","3,92","2","","","3,31","10","","","3,67","9","3,92","57","4,33","32","4,62","2","","","","","","","","","3,974","112","3,859","219"
"Варна","Варна","Държавно","професионална гимназия","Варненска търговска гимназия","4,78","120","4,62","4","4,39","5","","","3,82","16","","","4,5","20","4,76","32","4,49","42","","","5,35","1","","","","","","","4,481","120","4,629","240"
"Варна","Варна","Общинско","профилирана гимназия","Гимназия с преподаване на чужди езици ""Йоан Екзарх"" - Варна","5,45","179","5,19","8","5,71","2","","","","","4,43","2","4,69","18","5,25","9","5,51","100","","","5,58","34","","","4,84","6","","","5,38","179","5,415","358"
"Варна","Варна","Общинско","профилирана гимназия","ІV Езикова гимназия","5,25","198","4,12","10","5,35","2","5,75","3","4,68","7","","","4,29","15","5,38","8","5,41","73","","","","","5,42","42","5,41","38","","","5,237","198","5,245","396"
"Варна","Варна","Общинско","профилирана гимназия","Математическа гимназия","5,3","212","5,34","149","4,73","2","5,83","2","4,54","4","","","","","5,31","2","5,59","52","","","5,24","2","","","","","","","5,382","213","5,343","425"
"Варна","Варна","Общинско","профилирана гимназия","Национална гимназия за хуманитарни   науки и  изкуства","4,75","191","4,67","2","4,85","12","5,22","2","4,09","23","","","4,29","38","4,63","27","5,01","85","5,39","2","5,8","3","","","","","","","4,712","194","4,729","385"
"Варна","Варна","Държавно","по изкуствата","НАЦИОНАЛНО УЧИЛИЩЕ  ПО ИЗКУСТВАТА","4,41","67","","","4,64","2","","","3,58","1","","","4,37","12","4,43","33","4,81","19","","","","","","","","","","","4,521","67","4,467","134"
"Варна","Варна","Държавно","професионална гимназия","Професионална гимназия    по електротехника","3,84","113","4,12","3","3,87","6","3,6","3","3,66","31","","","3,68","26","3,94","10","5,02","39","","","","","","","","","","","4,157","118","4,001","231"
