"﻿""Област""","Населено място","Тип","Име на училище","Общ брой ученици","География и икономика / Макс 18","История и цивилизация / Макс 18","Физика и астрономия / Макс 15","Химия и опазване на околната среда / Макс 15","Биология и здравно образование / Макс 15","Чужд език / Макс 35","Български език и литература / Макс 65","Математика / Макс 65"
"Пловдив","Маноле","село","ОУ ""В. Левски""","36","12.97","12","10.5","8.65","8.71","22.91","29.53","19.31"
"Пловдив","Калековец","село","ОУ ""Св. Св. Кирил и Методий""","39","8.85","10.35","6.77","5.86","6.91","15.94","16.69","13.53"
"Пловдив","Рогош","село","Основно училище ""Васил Левски""","37","11.76","10.48","9.97","11.09","10.62","23.22","27.32","24.85"
"Пловдив","Труд","село","ОУ ""Св.Св. Кирил и Методий""","23","11.2","11.8","10.32","10.42","10.89","26.53","27.3","18.52"
"Пловдив","Първомай","град","ОУ ""Св. св. Кирил и Методий""","38","10.16","9.28","8.52","6.64","7.44","13.24","26.28","15.78"
"Пловдив","Първомай","град","ОУ ""Георги Караславов""","21","9.46","9.08","8","7.5","6.92","10.62","17.73","10.85"
"Пловдив","Градина","село","ОУ ""Христо Ботев""","20","9.5","9.67","7","7.42","8","16.42","22.82","16.69"
"Пловдив","Искра","село","ОУ ""Отец Паисий""","9","5.25","4","6.88","6.75","7","7.63","9.38","8.62"
"Пловдив","Дълбок извор","село","ОУ ""Св.Св.Кирил и Методий""","14","7.67","7.22","4.83","5.58","6","13.09","8.64","8.27"
"Пловдив","Виница","село","ОУ ""Васил Априлов""","6","8.67","9.67","5","5.5","6.5","13","11.33","10"
"Пловдив","Караджалово","село","ОУ ""Св.Св.Кирил и Методий""","9","8.78","9.11","7.56","4.67","5.44","13.56","23.33","11.22"
"Пловдив","Бяла река","село","ОУ ""Любен Каравелов""","10","6.3","6.4","4.2","2.9","4.6","9.2","16.25","8.9"
"Пловдив","Буково","село","ОУ ""Д-р Петър Берон""","4","8.5","8.75","9.75","6.25","8","15.5","32.5","12"
"Пловдив","Езерово","село","ОУ ""Христо Ботев""","6","11","9.83","9.17","6.33","7.67","12.33","14.17","10.17"
"Пловдив","Първомай","град","СОУ ""Асен Златаров""","41","13.55","12.95","10.3","8.8","8.68","22.55","38.78","23.85"
"Пловдив","Перущица","град","ОУ ""ПЕТЪР БОНЕВ""","33","10.47","10.22","8","7.75","8.78","15.97","28.39","19.48"
"Пловдив","Раковски","град","ОУ ""Христо Ботев""","41","13.41","11.05","8.3","8.7","9.43","21.22","35.54","26.66"
"Пловдив","Раковски","град","ОУ ""Христо Смирненски""","55","12.86","13.58","9.86","10.2","8.74","23.04","36.65","27.68"
"Пловдив","Стряма","село","ОУ ""Отец Паисий""","36","9.07","8.37","6.43","5.07","5.11","12.37","18.63","10.1"
"Пловдив","Чалъкови","село","ОУ ""Д-р Петър Берон""","22","9.71","10.67","7.55","8","8.9","14.81","27.1","12.86"
"Пловдив","Шишманци","село","ОУ ""Хр.Ботев""","10","7.5","7.4","7.5","6.8","7.6","15.9","9.8","10.8"
"Пловдив","Белозем","село","ОУ ""Гео Милев""","39","12.11","10.33","9.66","6.77","7.4","22.47","24.92","19.39"
"Пловдив","Белащица","село","ОУ ""П.Славейков""","11","12.75","11.62","12.88","11","12.25","22.38","42.12","22.12"
"Пловдив","Първенец","село","ОУ ""Св.Св.Кирил и Методий""","28","11.52","9.96","8.89","8.64","8","17.93","30.68","27"
"Пловдив","Брестник","село","ОУ ""В. Левски""","10","15","14.56","10.56","10.33","11.33","23.78","40.61","34.33"
"Пловдив","Брестовица","село","ОУ ""Христо Ботев""","23","11.33","12.71","8.35","7.6","8.65","20.6","21.7","20.35"
"Пловдив","Кадиево","село","ОУ ""Св. Св. Кирил и Методий""","6","13","11.5","10.5","9.67","9.83","22.5","28.42","24"
"Пловдив","Марково","село","ОУ ""Св. Св. Кирил и Методий""","9","12.78","12.56","9.44","10","9.44","26.78","32.11","25.33"
"Пловдив","Браниполе","село","ОУ ""Св.Св. Кирил и Методий""","10","12.9","11.2","8.89","8.78","9.56","15.5","29.3","22"
"Пловдив","Устина","село","ОУ ""Св. Св. Кирил и  Методий""","16","10.8","9.47","6.44","5.56","7.62","15.06","24.25","16.56"
"Пловдив","Цалапица","село","ОУ,, Паисий Хилендарски ""","18","12.67","10.67","9.67","8.61","8.83","18.78","31","19.78"
"Пловдив","Ягодово","село","ОУ ""Неофит Рилски""","24","9.14","8.24","8.1","8.45","8.15","19.9","32.22","26.64"
"Пловдив","Крумово","село","ОУ ""Хр. Ботев""","10","13","12.8","8.3","6.8","7.4","22.4","39.17","35.78"
"Пловдив","Катуница","село","ОУ""Христо Ботев""","18","12.56","11.11","10.17","8.5","9.5","24.11","31.97","27.61"
"Пловдив","Садово","град","ОУ ""Гео Милев""","21","7.75","6.88","7.19","6","5.81","14.5","15.62","14.37"
"Пловдив","Чешнегирово","село","ОУ ""Св. Св. Кирил и Методий""","11","10.09","8.55","7.36","6.91","6.18","14.55","18.32","14.64"
"Пловдив","Поповица","село","ОУ "" Христо Ботев ""","19","11.2","11.07","8.12","6.81","5.94","17.67","27.83","20.75"
"Пловдив","Богданица","село","ОУ  с.Богданица","19","7.62","7.31","6.08","5.38","5.31","17.17","11.82","9.13"
"Пловдив","Караджово","село","Основно училище ""Васил Левски""","18","8.94","8.19","6.75","5.25","6.06","14.59","23.22","17.12"
"Пловдив","Болярци","село","ОУ ""Г. С. Раковски""","19","9.72","10.94","5.35","4.18","5.65","14.59","10.42","7.72"
"Пловдив","Йоаким Груево","село","ОУ ""Хр. Ботев""","21","9.79","10.05","8","9.06","8.67","25","20.98","9.53"
"Пловдив","Куртово Конаре","село","ОУ ""Св. Кирил и Методий""","23","10.25","10.1","8","6.6","5.6","16.62","18.71","14.62"
"Пловдив","Ново село","село","ОУ ""Хр.Смирненски""","18","8.5","8","7.85","6.69","8.31","14.58","14.46","11.69"
"Пловдив","Стамболийски","град","ОУ ""Христо Ботев""","28","10.5","10.46","8.5","7.92","9.25","20.48","11.79","12.77"
"Пловдив","Стамболийски","град","ОУ ""Христо Смирнески""-гр.Стамб","20","16.05","15.25","10.95","12.35","10.9","28.8","44.17","40.55"
"Пловдив","Триводици","село","ОУ""Васил Левски""","21","10","10.43","8.93","8.07","9.27","14.29","10.44","7.44"
"Пловдив","Стамболийски","град","СОУ ""Отец Паисий""","37","13.97","13.58","11","9.12","8.94","23.09","36.93","29.24"
"Пловдив","Съединение","град","СОУ ""Христо Ботев""","46","9.74","10.5","6.88","5.4","5.88","17.02","28.86","18.62"
"Пловдив","Паничери","село","ОУ ""Хр. Ботев""","12","9.33","8.89","6.56","6.22","6.89","16.38","16.67","23.25"
"Пловдив","Хисаря","град","ОУ ""В.Левски""","7","12.57","12.29","9.71","10.29","9","26.57","39.57","25.57"
"Пловдив","Хисаря","град","ОУ""Климент Охридски""","12","12.58","12","7.25","6.08","7.17","15.09","32.12","18.55"
"Пловдив","Красново","село","ОУ""Христо Ботев ""","13","11.92","11.92","9.33","5.75","7.08","18.92","18.08","14.38"
"Пловдив","Хисаря","град","ООУ ""Свети Иван Рилски""","3","12","13","8","6","5","18","24","15.5"
"Пловдив","Хисаря","град","СОУ ""Хр.Смирненски""","41","13.6","13.11","9.63","9.74","9.16","22.35","41.67","32.88"
"Пловдив","Пловдив","град","ОУ""Ал.Константинов""","78","16.47","15.51","12.51","13.76","11.32","32.36","51.99","41.64"
"Пловдив","Пловдив","град","ОУ ""Тютюнджян""","46","13.02","11.2","8.36","8.8","8.53","23.7","38.4","27.3"
"Пловдив","Пловдив","град","ОУ ""Гео Милев""","19","7.29","7.18","5.62","5.69","6.69","13.36","5.88","14.88"
"Пловдив","Пловдив","град","ОУ ""Георги Бенковски""","11","16","15.91","11.64","11.73","10.09","31.36","44.05","34.82"
"Пловдив","Пловдив","град","ОУ ""Д-р П. Берон""","27","14.82","13.05","10.61","11.39","11.57","31.87","43.96","29.83"
"Пловдив","Пловдив","град","ОУ ""Душо Хаджидеков""","94","15.31","14.18","11.03","12.11","11.35","30.88","47.94","39.92"
"Пловдив","Пловдив","град","ОУ ""Екзарх Антим І""","47","14.04","13.57","11.63","9.7","8.65","26.8","44.35","37.43"
"Пловдив","Пловдив","град","ОУ ""К.Честеменски""","39","13.32","12.32","10.61","11.89","11.08","25.03","42.54","34.53"
"Пловдив","Пловдив","град","СОУ ""Любен Каравелов""","27","13.04","11.56","8.64","8.44","9.32","21.88","34.12","22.6"
"Пловдив","Пловдив","град","ОУ ""Княз Александър I""","176","15.13","14.71","10.02","10.89","10.24","28.5","47.37","37.49"
"Пловдив","Пловдив","град","СОУ  ""Св.Паисий Хилендарски""","116","14.37","13.75","10.31","8.27","9.45","24.89","44.99","33.56"
"Пловдив","Пловдив","град","СОУ ""Св. Кл. Охридски""","66","13.11","12.09","9.98","7.17","8.67","21.42","36.57","26.11"
"Пловдив","Пловдив","град","СОУ ""Свети Патриарх Евтимий""","151","15.34","14.89","11.96","12.18","10.61","29.5","50.8","46.94"
"Пловдив","Пловдив","град","СОУ ""Цар Симеон Велики""","30","12.46","11.68","10.69","9.69","9.97","22.9","35.55","27.9"
"Пловдив","Пловдив","град","ОУ ""Васил Левски""","38","13.64","11.59","11.3","10.92","10.59","26.74","37.95","31.57"
"Пловдив","Пловдив","град","ОУ ""Д. Дебелянов""","83","8.25","8.49","7.03","6.7","7.42","13.85","11.95","12.37"
"Пловдив","Пловдив","град","ОУ ""Пенчо Славейков""","142","8.41","8.52","6.55","6.21","6.52","12.58","7.19","7.97"
"Пловдив","Пловдив","град","СОУ ""Н. Геров""","152","8.6","8.26","7.63","7.68","7.22","15.17","12.81","15.9"
"Пловдив","Пловдив","град","СОУ ""Симон Боливар""","38","11.89","11.73","8.64","7.28","8.5","19.22","33.28","23.54"
"Пловдив","Пловдив","град","ССУ за ДУС","9","7.5","11","5.83","5.5","6.17","12.5","19.5","23.17"
"Пловдив","Пловдив","град","ОУ ""Васил  Петлешков""","21","14.33","13.57","10.48","10.9","9.81","23.43","38.5","31.33"
"Пловдив","Пловдив","град","ОУ ""Драган Манчов""","53","13.69","12.65","9.81","8.67","8.83","24.96","43.71","33.92"
"Пловдив","Пловдив","град","ОУ ""Елин Пелин""","36","15.32","14.53","10.88","10.76","11.15","25.97","39.54","37.46"
"Пловдив","Пловдив","град","ОУ ""Тодор Каблешков""","23","12.57","12.1","8.78","7.91","7.78","18.83","35.41","23"
"Пловдив","Пловдив","град","СОУ ""Св. Св. Кирил и Методий""","56","13.23","13.14","10.16","9.96","9.09","23.63","42.63","33.48"
"Пловдив","Пловдив","град","ОМГ ""Акад. К. Попов""","26","16.08","15","12.62","12.46","10.92","34.77","58.31","64.62"
"Пловдив","Пловдив","град","СУ ""Васил Левски""","78","10.24","9.53","7.88","6.08","6.14","14.21","23.79","16.55"
"Пловдив","Пловдив","град","ОУ ""Димитър Димов""","18","12.69","11.19","9.94","8.47","7.59","20.82","29.76","23.94"
"Пловдив","Пловдив","град","ОУ  ""Йордан Йовков""","29","8.82","9.14","6.45","6.27","6.91","14.9","11.96","12.57"
"Пловдив","Пловдив","град","ОУ ""П. Волов""","61","8.63","8.98","7.1","7.73","8.27","16.22","13","11.02"
"Пловдив","Пловдив","град","ОУ ""Райна Княгиня""","124","15.83","15.23","11.26","10.31","11.22","29.13","43.69","38.94"
"Пловдив","Пловдив","град","СОУ ""Никола Вапцаров""","35","13.03","10.94","10.55","8.17","8.97","23.09","33.49","24.29"
"Пловдив","Пловдив","град","СОУ ""П. Кр. Яворов""","65","14.17","12.77","10.25","9.63","9.25","26.6","41.82","32.86"
"Пловдив","Пловдив","град","СОУ ""Христо Груев Данов""","46","12.82","11.59","8.68","9.2","8.9","21.1","36.94","25.51"
"Пловдив","Пловдив","град","СОУ ""Братя Миладинови""","26","13.21","11.29","9.58","9.54","9.88","24.87","41.25","25.14"
"Пловдив","Пловдив","град","ОУ ""Д.Талев""","99","14.18","13.77","10.02","8.08","9.49","25.9","40.08","32.92"
"Пловдив","Пловдив","град","ОУ ""Захари Стоянов""","16","12.25","12.62","10.19","10.25","9.81","21.38","27.77","17.27"
"Пловдив","Пловдив","град","ОУ ""Стоян Михайловски""","45","13.67","13.14","10.69","8.9","9.4","25.9","44.82","32.36"
"Пловдив","Пловдив","град","ОУ ""Яне Сандански""","78","14.05","13.52","10.27","9.28","8.76","25.58","36.69","34.28"
"Пловдив","Пловдив","град","СОУ  ""Константин Величков""","27","11.74","11.7","8.52","5.83","7.35","19.39","32.85","18.92"
"Пловдив","Пловдив","град","СОУ ""Св. К. К. Философ""","52","13.54","12.22","10.68","9.86","10.24","24.3","41.3","31.94"
"Пловдив","Пловдив","град","СОУ „Димитър Матевски""","97","14.18","13.48","8.89","5.96","7.22","24.28","39.61","34.82"
"Пловдив","Пловдив","град","СОУ ""Св. Седмочисленици""","51","12.5","11.62","8.65","8.96","8.49","22.16","39.63","25.76"
"Пловдив","Пловдив","град","СОУ ""Св. Софроний Врачански""","76","14","13.12","10.03","7.93","8.48","25.11","43.55","38.79"
"Пловдив","Пловдив","град","СОУ ""Черноризец Храбър""","75","14.04","12.77","9.74","8.04","8.47","24.55","37.61","31.54"
"Пловдив","Пловдив","град","ЧСОУ ""ДРУЖБА""","18","13.17","12.33","10.06","8.5","10.78","28.11","37.56","29.18"
"Пловдив","Пловдив","град","ЧОУРЧО ""Класик""","14","15.08","14.42","9.08","6.58","7","27.23","33.73","20.69"
"Пловдив","Пловдив","град","ЧОУ ""Бъдеще""","7","16.75","16.5","12.25","13","12.75","32","40.9","37"
"Разград","Завет","град","СОУ ""Св. Св.Кирил и Методий""","37","10.89","9.89","10.11","9.43","8.29","20.6","26.66","20.2"
"Разград","Завет","град","ВУИ ""Н.Й.ВАПЦАРОВ""","8","4.5","4.75","5.25","3.75","3.25","13","10.25","10"
"Разград","Брестовене","село","ОУ ""Христо Ботев""","32","11.07","10.1","8.97","9.17","8.9","18.57","21.97","15.57"
"Разград","Острово","село","ОУ ""Христо Ботев""","13","11.3","9.4","9.6","9.2","9.2","19.6","18.4","16.4"
"Разград","Веселец","село","ОУ""Христо Ботев""","5","8.4","7.2","6.8","6.4","7.2","17","19.8","16.6"
"Разград","Сушево","село","ОУ ""В.Левски""","13","11.15","8.69","8.85","9.31","8.23","18.15","19.38","24.54"
"Разград","Исперих","град","ОУ ""В.Априлов""","93","11.97","11.75","10.04","8.2","9.93","20.9","27.83","23.64"
"Разград","Исперих","град","ОУ  ""Хр. Ботев""","41","10.43","10.29","8.18","6.18","6.62","17.09","23.36","21.63"
"Разград","Вазово","село","ОУ""Н.Й.Вапцаров""","16","12.86","12.21","8.79","8.14","8.64","11.29","17.79","9.14"
"Разград","Китанчево","село","ОУ ""Хр.Ботев""","12","11","10","8.17","7.17","8.5","21.33","17.45","21.91"
"Разград","Лудогорци","село","ОУ ""Хр.Ботев""","19","13.63","14.11","9.42","11.11","10.42","24.53","26.08","28.89"
"Разград","Подайва","село","ОУ ""Отец Паисий""","21","13.3","12.65","9.3","9.15","9.35","21.75","30.8","19.95"
"Разград","Тодорово","село","ОУ""В.Левски""","8","12.5","11.5","10.43","9.43","8","17.63","11.71","17.43"
"Разград","Кубрат","град","СОУ ""Христо Ботев""","54","12.72","10.9","9.6","8.42","8.32","21.2","32.56","22.72"
"Разград","Кубрат","град","ПУИ ""Д-р П.Берон""","8","0","0","0","0","0","0","0","0"
"Разград","Кубрат","град","ОУ ""Хр.Смирненски""","18","8.5","8.06","7.25","7","6.94","13.06","24.44","11.81"
"Разград","Беловец","село","ОУ ""Васил Левски""","16","7.4","6.2","7.07","6.6","6.87","14.73","21.53","12.73"
"Разград","Севар","село","ОУ ""Н.Й.Вапцаров""","15","8.93","8.53","7.8","5","6.67","14.87","23.67","16.53"
"Разград","Юпер","село","ОУ ""Свети Климент""","7","11.17","12.33","10.33","5.17","5","15.17","20.93","8.5"
"Разград","Бисерци","село","ОУ ""Н.Й.Вапцаров""","7","12.71","12.14","8.14","10.29","9","15.43","22.29","15.57"
"Разград","Сеслав","село","ОУ ""Св. Св. Кирил и Методий""","10","8.62","6","6.62","6.38","6.5","22.38","15.75","17.38"
"Разград","Равно","село","ОУ ""Св.  Паисий Хилендарски""","7","11.8","8","10.4","9.6","11.2","16.6","14.1","15"
"Разград","Лозница","град","СОУ ""Христо Ботев""","40","12.65","11.95","7.89","7.66","7.63","21.29","30.61","19.82"
"Разград","Сейдол","село","ОУ ""Виделина""","18","12.93","11.4","9.67","9.93","9.67","15.73","20.8","14.67"
"Разград","Веселина","село","ОУ ""Иван  Вазов""","8","11.71","10.57","6.14","5.86","7.86","16.43","18.86","8.57"
"Разград","Гороцвет","село","ОУ ""Хр. Ботев""","15","12.18","12","9.55","7","9","18.45","33.82","19.45"
"Разград","Трапище","село","ОУ ""Кирил и Методий""","6","9.25","10.5","5.5","5.75","8","14.75","13.5","6.75"
"Разград","Разград","град","ОУ ""Н.Й.Вапцаров""","80","16.29","13.88","12.08","11.11","11.79","28.06","39.35","26.3"
"Разград","Разград","град","СОУ ""Хр.Ботев""","66","13.21","11.78","9.25","9.06","9.25","23.17","33.25","24.35"
"Разград","Разград","град","ОУ ""Васил Левски""","88","15.56","14.35","12.97","12.76","10.61","26.36","45.8","36.75"
"Разград","Разград","град","ОУ ""Н.Икономов""","68","15.32","14.75","10.49","11.46","11.21","28.96","35.68","32.65"
"Разград","Разград","град","ОУ ""И.С.Тургенев""","21","11.33","9.94","9.11","6.94","6.94","16.94","27.18","28.61"
"Разград","Разград","град","ОУ""Отец Паисий""","40","9.72","8.39","7.33","7.06","7.14","17.19","21.14","15.31"
"Разград","Осенец","село","ОУ ""Д-р Петър Берон""","6","9.83","10.5","8.33","7.17","8.17","10.33","14.5","17"
"Разград","Раковски","село","ОУ ""Г.С.Раковски""","14","11.1","9.2","9.4","8.6","8.7","16.4","15.85","11.6"
"Разград","Дянково","село","ОУ ""Отец Паисий""","9","11.11","8.78","6.44","6.67","7.89","12.89","20.72","10.78"
"Разград","Ясеновец","село","ОУ""Св.Св.Кирил и Методий""","20","8.7","7.85","6.7","6.35","7.5","11.55","10.45","9.2"
"Разград","Киченица","село","ОУ ""Кирил и Методий""","11","11","10.9","7.5","9.2","8.3","15","16.62","11"
"Разград","Стражец","село","ОУ ""Ел.Пелин""","4","10.25","11.5","5.25","8.5","9.75","17.5","9","7.75"
"Разград","Осенец","село","ПУИ ""Христо  Ботев""","3","0","0","0","0","0","0","0","0"
"Разград","Разград","град","Спортно училище","12","10.4","8.1","7.33","5.67","7.83","14.09","14.58","13.08"
"Разград","Самуил","село","СОУ""Св.Св.Кирил и Методий""","20","13.69","11.5","9.06","8.69","11.25","16.31","28.84","15.25"
"Разград","Хърсово","село","ОУ""Св.П.Хилендарски""""","14","7.09","8.27","6.45","6.55","6.73","16.36","23","17.73"
"Разград","Владимировци","село","ОУ""Хр.Ботев""""","16","12.73","12.47","9.07","9","9.33","20.67","28.57","25.73"
"Разград","Желязковец","село","ОУ""Св.Климент Охридски""","3","8.5","9","11","9","5","21.5","26","5"
"Разград","Цар Калоян","град","СОУ ""Хр. Ботев""","32","12.5","10.43","8.11","6.75","8.79","16.93","27.12","17.18"
"Разград","Езерче","село","ОУ ""Св. П. Хилендарски""","14","9.9","7.9","7.36","6.36","7.73","22.91","25.73","16.36"
"Русе","Борово","град","ОУ""Св.Климент Охридски""","12","9.25","10.5","10.25","9.67","10.17","11.83","20.5","9.25"
"Русе","Горно Абланово","село","ОУ"" Христо Ботев""","5","9.75","8.5","7.67","4","5.33","17.25","30.12","21.25"
"Русе","Обретеник","село","ОУ ""П.Р. Славейков""","9","9.22","7.67","7.22","7","7.56","14.22","21.11","31.22"
"Русе","Бяла","град","ОУ ""НИКОЛА ЙОНКОВ ВАПЦАРОВ""","10","11.89","12.11","9","8.38","8.5","16.5","17.11","14.44"
"Русе","Бяла","град","СОУ ""Панайот Волов""","61","13.29","12.22","11.35","10.37","10.63","24.52","33.29","25.25"
"Русе","Копривец","село","ОУ ""Неофит Рилски""","13","7.89","6.67","7.22","5.33","5.11","17.89","11.28","14.22"
"Русе","Полско Косово","село","ОУ ""Свети св. Кирил и Методий""","17","11.06","10.81","8.6","5.73","6.73","13.94","15.62","10.12"
"Русе","Ветово","град","СОУ ""Васил Левски"" с ПП","37","9.57","9.07","8.75","7.47","6.38","12.56","21.56","12.47"
"Русе","Сеново","град","ОУ""Св.св. Кирил и Методий""","10","6.1","7.6","5.8","4.3","4.7","15.4","22.6","11.7"
"Русе","Глоджево","град","СОУ ""Христо Ботев""","19","14.33","12.22","12.28","11.06","10.89","24.33","27.36","26.5"
"Русе","Смирненски","село","ОУ ""Петко Рачов Славейков""","14","9.5","8.57","8.71","8.29","8.71","14.57","23","19.86"
"Русе","Баниска","село","ОУ ""Христо Ботев""","13","8.91","9.55","9.54","10.08","9.46","20.58","24.08","24.85"
"Русе","Две могили","град","СОУ ""Св.св. Кирил и Методий""","43","10.84","11.65","7.26","5.97","6.53","14.32","24.49","17.69"
"Русе","Иваново","село","ОУ "" Н.Й.Вапцаров ""","8","9.71","9.43","7.43","6.57","8.14","19.86","19.43","12.29"
"Русе","Тръстеник","село","ОУ"" Васил Левски""","7","14","13.86","11.86","10.43","10.71","25.14","42.5","36.17"
"Русе","Щръклево","село","О У ""Христо Ботев""","24","11.29","10.57","7.76","8.43","7.29","18.71","26.83","21.86"
"Русе","Сваленик","село","ОУ ""Свeти Климент Охридски ""","6","7.5","7.33","7.83","4.17","8","15","14","6.67"
"Русе","Русе","град","ОУ""Отец Паисий""","27","13.85","11.38","9.08","9.23","7.31","20.81","34.02","26.62"
"Русе","Русе","град","ОУ""Любен Каравелов""","51","15.14","14.25","9.92","10.43","8.1","30.24","47.39","45.14"
"Русе","Русе","град","ОУ ""Ангел Кънчев""","25","11.53","12.13","8.06","8.12","8.5","17.2","20.81","17.38"
"Русе","Русе","град","ОУ ""Бр. Миладинови""","21","10.9","9.7","7.2","7.3","7.95","16.7","21.93","16.55"
"Русе","Русе","град","ОУ ""Иван Вазов""","107","14.58","13.92","10.77","9.17","9.07","27.44","39.16","34.73"
"Русе","Русе","град","ОУ ""Алеко Константинов""","36","8.96","9.17","7.84","6.24","6.8","17.42","11.62","15.71"
"Русе","Русе","град","ОУ ""Тома Кърджиев""","26","9.16","8.8","6.65","5.31","5.92","19.04","18.96","9.54"
"Русе","Русе","град","ОУ ""Никола Обретенов""","37","9.41","8.66","8.19","6.58","7.9","20.91","25.79","17.03"
"Русе","Русе","град","ОУ""Васил Априлов""","52","12.82","11.76","8.88","7.08","11.04","17.29","27.31","23.61"
"Русе","Русе","град","ОУ ""Христо Смирненски""","12","10.8","10.8","8.22","5.22","6.11","17.08","21.58","16.67"
"Русе","Николово","село","ОУ ""Св.св.Кирил и Методий","12","10.89","10.11","9.12","8.12","7.62","19.5","23.9","13.6"
"Русе","Мартен","град","ОУ""Отец Паисий""","24","12.74","12.61","9.96","8.26","8.96","21.48","28.65","15.91"
"Русе","Ново село","село","ОУ ""Г. С. Раковски""","22","11.9","9.65","7.65","6.05","8.3","19.95","24.18","16.65"
"Русе","Семерджиево","село","ОУ""Св.св.Кирил и Методий""","8","9.38","8.75","7.25","8.25","8.88","16.88","16.25","8.75"
"Русе","Тетово","село","ОУ  ""Отец Паисий""","16","10.23","10.15","8.77","6.77","8.54","20.23","19.54","11.33"
"Русе","Русе","град","МГ  ""Баба Тонка""","26","16.85","15.92","13.08","13.42","12.15","33.58","54.38","59.08"
"Русе","Русе","град","СОУЕЕ","127","14.35","13.38","11.15","10.83","9.44","28.25","43.67","38.71"
"Русе","Русе","град","СОУПНЕ ""Фридрих Шилер""","84","14.62","13.22","10.16","8.45","9.95","22.93","40.9","30.7"
"Русе","Русе","град","ОУ  ""Олимпи Панов""","37","12.81","11.97","9.78","8.94","7.31","19.97","30.7","22.84"
"Русе","Русе","град","СОУ ""Йордан Йовков""","50","11.94","10.62","9.58","8.88","9.71","19","31.01","22.65"
"Русе","Русе","град","СОУ ""Христо Ботев""","93","14.87","13.94","10.86","9.6","9.52","26.71","43.24","34.34"
"Русе","Русе","град","СОУ  ""Възраждане""","79","14.37","12.46","10.42","10.45","9.39","25.54","38.2","33.5"
"Русе","Русе","град","СОУ ""Васил  Левски""","173","13.3","11.95","8.77","8.31","8.48","21.78","37.31","29.31"
"Русе","Русе","град","ПЧСОУ ""Леонардо да Винчи""","10","13.9","13.6","12.4","11.44","9.78","27.8","49.06","45.33"
"Русе","Русе","град","СУ""М-р Атанас Узунов""","40","9.05","8.03","7.54","5.23","7.2","12.77","20.09","11.67"
"Русе","Голямо Враново","село","ОУ ""Иван Вазов""","22","11.32","11.09","9.32","8.82","11.55","17.09","23.3","15.32"
"Русе","Ряхово","село","ОУ ""Св.св.Кирил и Методий""","8","11.6","11.6","9.14","6.14","6.71","19","31.21","12.14"
"Русе","Сливо поле","град","СОУ""Св. Паисий Хилендарски""","33","12.17","9.8","8.77","8.53","8.03","16.17","28.06","20.06"
"Русе","Ценово","село","ОУ""Хр.Ботев""","13","12.9","14.2","10.67","10.89","9.67","16.67","27.55","16.18"
"Русе","Караманово","село","ОУ ""Христо Ботев""","10","9.67","9.56","9.22","7.78","7.78","18.22","18.94","21.89"
"Русе","Новград","село","ОУ""А.Константинов""","7","10.43","11.43","8.57","8.57","7.29","17","27.36","12.14"
"Русе","Долна Студена","село","ОУ""Свети Климент Охридски""","10","9.22","9.44","9.22","7.56","8.78","19.67","29.78","22.11"
"Силистра","Алфатар","град","ОУ ""Христо Ботев""","14","13.89","11.33","8.67","10.11","8.44","19","27.94","15"
"Силистра","Главиница","град","СОУ ""Васил Левски""","44","14.14","11.43","9.3","8.19","7.77","19.14","27.86","21.65"
"Силистра","Зафирово","село","ОУ ""Иван Вазов""","21","7.5","6.67","8.24","7.06","6.41","18.06","14.89","10.56"
"Силистра","Сокол","село","ОУ ""Св.Св.Кирил и Методий""","11","14.73","13.09","10.45","9.91","11","16.45","25.45","20"
"Силистра","Стефан Караджа","село","ОУ ""Отец Паисий""","6","9.83","9","9.17","7.67","7.5","21.33","22.75","19.17"
"Силистра","Дулово","град","СОУ ""Васил Левски""","56","11.06","10.2","9.12","8.18","9.04","17.16","24.08","19.15"
"Силистра","Окорш","село","СОУ ""Йордан Йовков""","28","11.12","10.96","8.46","7.31","7.04","20.04","29.5","22.12"
"Силистра","Паисиево","село","СОУ ""Христо Ботев""","32","11.1","11.52","7.97","9.32","8.48","19.35","28.71","21.74"
"Силистра","Секулово","село","ОУ ""Св.Св.Кирил и Методий""","20","11.47","11","7.58","7.84","8.11","18.21","21.26","28"
"Силистра","Правда","село","ОУ ""Св. св. Кирил и Методий""","13","10.08","8.85","7.08","8.62","8.77","14.77","20.46","12.33"
"Силистра","Черник","село","ОУ ""Св.Св.Кирил и Методий""","13","11.92","10.46","8.38","8","8.77","17.08","14.17","24.5"
"Силистра","Чернолик","село","ОУ ""Д-р Петър Берон""","12","13.42","11.83","9.42","8.67","8.67","22.42","19.54","19.42"
"Силистра","Яребица","село","ОУ ""Васил Левски""","17","11.06","12.17","9.11","9.22","8.39","21.67","22.47","14.33"
"Силистра","Дулово","град","ОУ ""Христо Смирненски""","82","12.16","10.81","8.89","8.46","9.46","19.28","22.94","18.94"
"Силистра","Голеш","село","ОУ ""Васил Априлов""","16","9.13","7.8","5.4","3.87","5","11","9.07","6.71"
"Силистра","Кайнарджа","село","ОУ ""Черноризец Храбър""","12","7.5","8.9","8.2","6","8.1","10","14.3","11.7"
"Силистра","Средище","село","ОУ ""Цанко Церковски""","16","10.77","12.69","7.75","7.17","7.67","18.77","26.27","13.18"
"Силистра","Силистра","град","СОУ ""Юрий Гагарин""","14","6","8.44","6","5.2","3.8","15.13","18.56","9.75"
