"﻿Област","Община","Населено място","Код по Админ","Училище","БЕЛ Ср.Усп","БЕЛ Бр.","МАТ Ср.Усп","МАТ Бр.","ИЦ Ср.Усп","ИЦ Бр.","ФА Ср.Усп","ФА Бр.","ГИ Ср.Усп","ГИ Бр.","ХООС Ср.Усп","ХООС Бр.","ФИЛ Ср.Усп","ФИЛ Бр.","БЗО Ср.Усп","БЗО Бр.","АЕ Ср.Усп","АЕ Бр.","РЕ Ср.Усп","РЕ Бр.","НЕ Ср.Усп","НЕ Бр.","ИспЕ Ср.Усп","ИспЕ Бр.","ФрЕ Ср.Усп","ФрЕ Бр.","ИтЕ Ср.Усп","ИтЕ Бр.","2ДЗИ Ср.Усп","2ДЗИ Бр.","ср.успех","общо"
"Кюстендил","Бобов дол","Бобов дол","1002451","Професионална гимназия","3,09","4","","","","","","","2,59","5","","","","","3,24","2","","","","","","","","","","","","","2,78","7","2,89","11"
"Кюстендил","Бобов дол","Бобов дол","1000016","Средно училище ""Христо Ботев""","3,4","20","3,98","2","","","","","2,57","1","","","3,64","1","3,23","20","","","","","","","","","","","","","3,28","24","3,34","44"
"Кюстендил","Бобов дол","Бобов дол","1000018","Средно училище ""Доктор Петър Берон""","2,87","3","","","2,54","2","","","","","2,88","1","","","","","","","","","","","","","","","","","2,65","3","2,76","6"
"Кюстендил","Дупница","Дупница","1002136","Професионална гимназия ""Акад. Сергей П. Корольов""","3,66","63","3,98","5","2,8","6","","","3,18","20","","","3,57","7","3,78","30","4,18","7","","","","","","","","","","","3,57","75","3,61","138"
"Кюстендил","Дупница","Дупница","1002137","Професионална гимназия по хранително - вкусови и химични технологии","3,7","38","","","2,77","1","","","3,38","7","","","3,42","10","4,17","17","4,05","6","","","","","","","","","","","3,8","41","3,75","79"
"Кюстендил","Дупница","Дупница","1000049","Професионална гимназия по облекло и стопанско управление","3,63","50","","","3,35","1","","","3,4","4","","","3,59","7","3,75","30","4,43","7","","","","","","","","","","","3,79","49","3,71","99"
"Кюстендил","Дупница","Дупница","1000051","Професионална гимназия по транспорт","3,38","19","","","2,26","1","","","3,25","3","","","3,19","7","3,5","5","2,88","1","","","","","","","","","","","3,22","17","3,3","36"
"Кюстендил","Дупница","Дупница","1000035","Средно училище ""Св. Паисий Хилендарски""","4,51","48","3,96","4","","","","","4,33","3","","","3,66","6","4,72","16","5,03","13","","","","","5,45","7","","","","","4,69","49","4,6","97"
"Кюстендил","Дупница","Дупница","1000052","ПРОФИЛИРАНА ГИМНАЗИЯ ""ХРИСТО БОТЕВ""","4,93","110","4,93","19","4,95","9","","","3,43","4","","","4,36","20","5,32","22","5,19","34","","","","","","","","","","","4,93","108","4,93","218"
"Кюстендил","Кочериново","Кочериново","1000025","Средно училище ""Христо Ботев""","3,53","14","","","3,45","1","","","4,25","2","","","3,12","11","","","","","","","","","","","","","","","3,31","14","3,42","28"
"Кюстендил","Кюстендил","Кюстендил","1001380","Професионална гимназия по икономика и мениджмънт ""Йордан Захариев""","4,26","127","4,74","2","4,2","8","","","3,7","44","","","3,93","20","4,44","35","4,79","19","","","","","","","","","","","4,15","128","4,2","255"
"Кюстендил","Кюстендил","Кюстендил","1000540","Езикова гимназия ""Д-р Петър Берон""","4,48","72","4,62","3","4,28","7","","","4,36","10","","","4,09","15","4,06","9","5,44","28","","","","","5,59","2","","","","","4,71","74","4,6","146"
"Кюстендил","Кюстендил","Кюстендил","1000550","Природоматематическа гимназия ""Проф. Емануил Иванов""","4,85","69","5,15","33","","","5,98","1","4,21","3","","","4,02","4","4,85","9","5,67","19","","","","","","","","","","","5,16","69","5","138"
"Кюстендил","Кюстендил","Кюстендил","1000002","Професионална гимназия по селско стопанство""Св.Климент Охридски""","2,85","6","","","","","","","2,57","1","","","","","2,91","2","","","","","","","","","","","","","2,8","3","2,83","9"
"Кюстендил","Кюстендил","Кюстендил","1001420","Професионална гимназия по туризъм ""Никола Йонков Вапцаров""","3,55","26","","","","","","","4,12","1","","","3,5","11","3,76","12","4,44","2","","","","","","","","","","","3,71","26","3,63","52"
"Кюстендил","Кюстендил","Кюстендил","1001670","Професионална гимназия по лека промишленост ""Владимир Димитров-Майстора""","2,61","5","3,2","1","","","","","","","","","","","2,81","5","","","","","","","","","","","","","2,87","6","2,75","11"
"Кюстендил","Кюстендил","Кюстендил","1001360","ПРОФЕСИОНАЛНА ТЕХНИЧЕСКА ГИМНАЗИЯ "" ДЖОН АТАНАСОВ ""","3,1","25","","","5,09","1","","","2,95","14","","","","","3,31","5","3,33","2","","","","","","","","","","","3,17","22","3,13","47"
"Кюстендил","Кюстендил","Кюстендил","1001390","Спортно училище ""Васил Левски""","3,09","26","","","2,97","2","","","3,24","9","","","","","3,74","8","3,53","2","","","","","","","","","","","3,43","21","3,24","47"
"Кюстендил","Сапарева баня","Сапарева баня","1000009","Средно училище ""Христо Ботев""","3,8","19","3,18","2","","","","","2,84","1","","","","","3,75","17","5,46","1","","","","","","","","","","","3,74","21","3,77","40"
"Ловеч","Априлци","Априлци","1100104","Професионална гимназия по туризъм ""Иван Марангозов""","3,43","15","","","","","","","3,39","15","","","","","","","","","","","","","","","","","","","3,39","15","3,41","30"
"Ловеч","Летница","Летница","1100201","Средно училище ""Бачо Киро""","3,17","9","","","","","","","","","","","","","3,5","1","","","","","","","","","","","","","3,5","1","3,2","10"
"Ловеч","Ловеч","Ловеч","1100328","Профилирана езикова гимназия ""Екзарх Йосиф I""","5,42","181","4,55","20","5,56","2","6","1","3,81","1","","","4,67","2","5,71","7","5,72","107","","","5,37","31","","","5,05","10","","","5,47","181","5,45","362"
"Ловеч","Ловеч","Ловеч","1100320","Профилирана природо-математическа гимназия","4,55","112","4,4","31","4,7","11","","","3,93","12","","","3,72","14","5,62","10","5,02","34","","","","","","","","","","","4,59","112","4,57","224"
